country,year,obesity rate GHO
AFG,1990,1.94951
AFG,1991,2.10504
AFG,1992,2.27339
AFG,1993,2.45549
AFG,1994,2.65288
AFG,1995,2.86688
AFG,1996,3.09974
AFG,1997,3.35344
AFG,1998,3.62948
AFG,1999,3.92878
AFG,2000,4.25171
AFG,2001,4.59872
AFG,2002,4.97112
AFG,2003,5.3692
AFG,2004,5.7933
AFG,2005,6.24419
AFG,2006,6.72338
AFG,2007,7.23398
AFG,2008,7.77566
AFG,2009,8.34692
AFG,2010,8.95014
AFG,2011,9.58712
AFG,2012,10.26261
AFG,2013,10.98253
AFG,2014,11.74824
AFG,2015,12.56313
AFG,2016,13.42533
AFG,2017,14.32564
AFG,2018,15.25583
AFG,2019,16.21054
AFG,2020,17.18952
AFG,2021,18.19454
AFG,2022,19.22259
AGO,1990,3.03408
AGO,1991,3.21426
AGO,1992,3.40321
AGO,1993,3.60287
AGO,1994,3.81337
AGO,1995,4.03253
AGO,1996,4.26153
AGO,1997,4.5032
AGO,1998,4.75767
AGO,1999,5.02498
AGO,2000,5.30158
AGO,2001,5.58552
AGO,2002,5.87502
AGO,2003,6.16585
AGO,2004,6.45578
AGO,2005,6.74203
AGO,2006,7.02197
AGO,2007,7.29498
AGO,2008,7.55883
AGO,2009,7.8114
AGO,2010,8.05471
AGO,2011,8.28999
AGO,2012,8.52208
AGO,2013,8.75735
AGO,2014,9.00233
AGO,2015,9.26096
AGO,2016,9.53238
AGO,2017,9.81707
AGO,2018,10.11604
AGO,2019,10.43034
AGO,2020,10.76143
AGO,2021,11.10958
AGO,2022,11.47373
ALB,1990,10.90426
ALB,1991,11.01119
ALB,1992,11.12686
ALB,1993,11.25511
ALB,1994,11.40041
ALB,1995,11.56516
ALB,1996,11.75196
ALB,1997,11.96454
ALB,1998,12.20488
ALB,1999,12.47117
ALB,2000,12.76226
ALB,2001,13.07537
ALB,2002,13.40175
ALB,2003,13.7411
ALB,2004,14.09398
ALB,2005,14.46217
ALB,2006,14.84872
ALB,2007,15.25414
ALB,2008,15.67669
ALB,2009,16.11482
ALB,2010,16.56935
ALB,2011,17.03826
ALB,2012,17.52401
ALB,2013,18.02542
ALB,2014,18.5449
ALB,2015,19.08703
ALB,2016,19.64935
ALB,2017,20.22724
ALB,2018,20.81616
ALB,2019,21.41809
ALB,2020,22.04066
ALB,2021,22.68704
ALB,2022,23.36019
AND,1990,11.1204
AND,1991,11.27692
AND,1992,11.45396
AND,1993,11.65494
AND,1994,11.88323
AND,1995,12.13722
AND,1996,12.4206
AND,1997,12.72669
AND,1998,13.0471
AND,1999,13.37873
AND,2000,13.71338
AND,2001,14.04926
AND,2002,14.38314
AND,2003,14.70764
AND,2004,15.02184
AND,2005,15.32137
AND,2006,15.59858
AND,2007,15.8488
AND,2008,16.07068
AND,2009,16.25946
AND,2010,16.41644
AND,2011,16.54845
AND,2012,16.66583
AND,2013,16.7741
AND,2014,16.88037
AND,2015,16.9948
AND,2016,17.12167
AND,2017,17.26097
AND,2018,17.40446
AND,2019,17.55516
AND,2020,17.7233
AND,2021,17.90641
AND,2022,18.09918
ARE,1990,18.8822
ARE,1991,19.5134
ARE,1992,20.15372
ARE,1993,20.80222
ARE,1994,21.46215
ARE,1995,22.13399
ARE,1996,22.80038
ARE,1997,23.463
ARE,1998,24.12874
ARE,1999,24.78997
ARE,2000,25.4364
ARE,2001,26.05905
ARE,2002,26.65426
ARE,2003,27.21039
ARE,2004,27.72851
ARE,2005,28.21312
ARE,2006,28.73655
ARE,2007,29.47155
ARE,2008,30.67004
ARE,2009,32.1393
ARE,2010,32.40814
ARE,2011,32.08613
ARE,2012,31.94861
ARE,2013,31.89716
ARE,2014,31.89001
ARE,2015,31.91028
ARE,2016,31.95958
ARE,2017,31.99626
ARE,2018,32.00328
ARE,2019,32.00185
ARE,2020,32.00785
ARE,2021,32.0165
ARE,2022,32.07922
ARG,1990,12.7153
ARG,1991,13.205260000000001
ARG,1992,13.71043
ARG,1993,14.22952
ARG,1994,14.76477
ARG,1995,15.31813
ARG,1996,15.88755
ARG,1997,16.47207
ARG,1998,17.06821
ARG,1999,17.67275
ARG,2000,18.28166
ARG,2001,18.88775
ARG,2002,19.49392
ARG,2003,20.10287
ARG,2004,20.71925
ARG,2005,21.34417
ARG,2006,21.98051
ARG,2007,22.63254
ARG,2008,23.3036
ARG,2009,23.99889
ARG,2010,24.72216
ARG,2011,25.47596
ARG,2012,26.25808
ARG,2013,27.06813
ARG,2014,27.90628
ARG,2015,28.77175
ARG,2016,29.66297
ARG,2017,30.57264
ARG,2018,31.49487
ARG,2019,32.43435
ARG,2020,33.39139
ARG,2021,34.36501
ARG,2022,35.3552
ARM,1990,11.84671
ARM,1991,12.14054
ARM,1992,12.45611
ARM,1993,12.79142
ARM,1994,13.13187
ARM,1995,13.47646
ARM,1996,13.82441
ARM,1997,14.1796
ARM,1998,14.54216
ARM,1999,14.91423
ARM,2000,15.29643
ARM,2001,15.68684
ARM,2002,16.08501
ARM,2003,16.49149
ARM,2004,16.90333
ARM,2005,17.31973
ARM,2006,17.74096
ARM,2007,18.16692
ARM,2008,18.5978
ARM,2009,19.0325
ARM,2010,19.46341
ARM,2011,19.89315
ARM,2012,20.32173
ARM,2013,20.75071
ARM,2014,21.17716
ARM,2015,21.59848
ARM,2016,22.01771
ARM,2017,22.42968
ARM,2018,22.83582
ARM,2019,23.24052
ARM,2020,23.65173
ARM,2021,24.07624
ARM,2022,24.50904
ASM,1990,63.02416
ASM,1991,63.83206
ASM,1992,64.56667
ASM,1993,65.22908
ASM,1994,65.82351
ASM,1995,66.35419
ASM,1996,66.84512
ASM,1997,67.29479
ASM,1998,67.70572
ASM,1999,68.08995
ASM,2000,68.44935
ASM,2001,68.78009
ASM,2002,69.0959
ASM,2003,69.40485
ASM,2004,69.70921
ASM,2005,70.01352
ASM,2006,70.32636
ASM,2007,70.64831
ASM,2008,70.97001
ASM,2009,71.29694
ASM,2010,71.62598
ASM,2011,71.94778
ASM,2012,72.25985
ASM,2013,72.56615
ASM,2014,72.87169
ASM,2015,73.17253
ASM,2016,73.47535
ASM,2017,73.78507
ASM,2018,74.0816
ASM,2019,74.36712
ASM,2020,74.65546
ASM,2021,74.937
ASM,2022,75.20533
ATG,1990,12.5338
ATG,1991,13.01854
ATG,1992,13.55793
ATG,1993,14.12315
ATG,1994,14.71526
ATG,1995,15.33509
ATG,1996,15.98501
ATG,1997,16.65918
ATG,1998,17.35538
ATG,1999,18.06738
ATG,2000,18.78378
ATG,2001,19.49611
ATG,2002,20.20376
ATG,2003,20.89923
ATG,2004,21.58505
ATG,2005,22.26211
ATG,2006,22.93318
ATG,2007,23.59648
ATG,2008,24.25209
ATG,2009,24.89827
ATG,2010,25.537
ATG,2011,26.16844
ATG,2012,26.78951
ATG,2013,27.40875
ATG,2014,28.02971
