year,OWIDcalories,protein,dairy,fruit,vegetables,grains,fats and oils,sugars,calories
1961,2880,NA,NA,NA,NA,NA,NA,NA,NA
1962,2858,NA,NA,NA,NA,NA,NA,NA,NA
1963,2860,NA,NA,NA,NA,NA,NA,NA,NA
1964,2926,NA,NA,NA,NA,NA,NA,NA,NA
1965,2922,NA,NA,NA,NA,NA,NA,NA,NA
1966,2954,NA,NA,NA,NA,NA,NA,NA,NA
1967,2978,NA,NA,NA,NA,NA,NA,NA,NA
1968,3001,NA,NA,NA,NA,NA,NA,NA,NA
1969,3033,NA,NA,NA,NA,NA,NA,NA,NA
1970,3029,508.8954235870315,250.29100087543492,71.24205250798988,135.4411398519064,409.80243666221605,346.1845203011871,332.53944066172033,2054.3960144474863
1971,3052,516.3617370471127,250.83878542854893,73.05837190684821,133.0284177798476,403.73380067338144,341.92781826186183,335.31928815484554,2054.268219252446
1972,3062,515.3807007423405,248.87991515858428,68.71738998216826,132.67968594154442,399.03507417641504,353.2257068830493,339.18526161973676,2057.1037345038385
1973,3040,486.20209461911674,247.49342592650228,71.77185361133999,132.53014965451163,410.7921481859771,356.92113123459717,340.25702682891546,2045.9678300609605
1974,3031,502.62271601096177,240.66038476801862,72.56490006943521,127.587457975245,406.3978681712621,349.16593119108603,328.8105215780496,2027.809779764058
1975,3033,494.1113434806876,239.77986457909734,75.99811946496945,131.5667078831694,415.6167189380984,350.5676258209116,317.70193118982144,2025.3423113567553
1976,3163,516.4311274203002,241.377386628007,77.27481084633216,132.4299367918505,429.8224137905234,367.48014857743283,334.5096810196935,2099.3255050741395
1977,3135,512.0292504661779,240.12987443073865,77.64295593629672,131.7119478453294,417.396022817301,353.0915983542083,342.4544106517641,2074.4560605018164
1978,3155,506.41988289195245,238.96504218599097,77.61219414059599,126.79488011029409,427.02710571448273,363.76821940993307,338.5374464240799,2079.1247708773294
1979,3214,501.2017036718205,236.70968008731435,77.12692367965079,129.65345877159154,431.2807571024329,371.54377682507686,341.9594300679275,2089.475730205814
1980,3178,496.1164875970267,233.01182868862574,82.74691502760669,127.25476498859882,437.10158593269176,372.27976765072765,335.3562840945766,2083.867633979854
1981,3218,501.1771619629974,231.0900804474027,78.93553107540255,125.61774335526971,437.20560659402105,370.42914566670015,334.09644053373376,2078.551709635527
1982,3191,494.6829562541579,234.35758291208242,81.25328227965996,129.0134180636961,436.2932256772734,372.1562873451413,328.36665885914124,2076.1234113911523
1983,3230,505.13583040272755,237.63898942388772,88.11099329325721,130.58935299234767,438.02449557888497,387.1688724182672,332.84579196756516,2119.514326076938
1984,3275,509.20858100050117,241.95387349636147,84.795569772959,131.48998345749985,447.75877616216076,401.6015257937517,339.69408518573385,2156.5023948689677
1985,3380,517.8702373043047,246.14172651574455,85.81005394700843,134.36273231047,475.56399990068275,424.1253280297173,351.8718172524643,2235.745895260392
1986,3352,515.3911115512169,247.20745155753332,89.09816852034712,136.19828545746867,490.0556350728651,431.18049531112797,346.81223933157753,2255.9433868021365
1987,3450,510.61263065191747,249.3763132908827,90.73957454074858,134.16916825127623,513.1638666374328,426.79925733608957,359.37364117522804,2284.2344518835753
1988,3458,517.4716150026936,244.52249492664802,88.82003638491082,135.28951134613945,525.7683797987825,432.94061284889574,363.15297734141575,2307.965627649486
1989,3433,508.4793229071306,240.52526711087015,91.0786709032653,136.0086986434552,521.134628395309,412.68096909950054,357.9587462953984,2267.866303354929
1990,3493,500.9282556235345,241.2811601831911,87.53391896778116,136.32316364567228,540.7282676633562,411.4831198397808,368.8394825679688,2287.1173684912847
1991,3522,503.8984416076544,240.53215232340662,87.33951042104846,143.14576109597704,543.022540089175,419.49653009552037,369.91545068211525,2307.350386314897
1992,3559,511.530748344181,241.0178800656783,90.61450094793905,142.29270223305696,551.1890402012172,432.9484848081952,377.8385757634434,2347.431932363711
1993,3605,509.12862111884044,236.8088279156351,93.24067753002916,146.2763358024188,567.0550509067008,452.86311848525804,386.3622857711577,2391.7349175300396
1994,3665,513.7858267999569,240.16127811357867,93.8842945211087,145.7420794537213,571.4424092164571,442.5239389654866,394.0835412769551,2401.6233683472647
