groupid,year,gengrp,agegrp,N,kcal,protein,carbs,sugars,fiber,fat,sat fat,mono unsat fat,poly unsat fat,cholesterol,vit E,retinol,vit A,alpha-carotene,beta-carotene,beta-cryptoxanthin,lycopene,lutein_zeaxanthin,thiamin,riboflavin,niacin,vit B6,folic acid,food folate,folate,vit B12,vit C,vit K,calcium,phosphorus,magnesium,iron,zinc,copper,sodium,potassium,selenium,SFA 4:0,SFA 6:0,SFA 8:0,SFA 10:0,SFA 12:0,SFA 14:0,SFA 16:0,SFA 18:0,MFA 16:1,MFA 18:1,MFA 20:1,MFA 22:1,PFA 18:2,PFA 18:3,PFA 18:4,PFA 20:4,PFA 20:5,PFA 22:5,PFA 22:6,caffeine,theobromine,alcohol,omega6,omega3,added vit E,added vit B12,choline,vit D
1,2001,Male,2-5,423,1733,59.6,241,135,10.8,61.5,23,23,10.5,191,4.4,456,544,202,872,156,4436,676,1.36,2.12,16.2,1.47,215,141,505,4.9,95.6,34.4,1019,1162,209,12.9,9.7,0.9,2511,2198,75,0.61,0.38,0.31,0.49,0.63,2.3,12.01,5.57,0.9,21.6,0.13,0.03,9.26,0.97,0,0.06,0.02,0.01,0.04,15.2,59.5,NA,9.32,1.04,NA,NA,NA,NA
2,2001,Male,6-11,568,2108,72,289,153,12.9,76.7,27.4,29.5,13.8,230,5.5,527,644,248,1209,102,6154,818,1.64,2.34,20.7,1.69,260,152,593,5.53,78.2,48.7,1053,1311,230,15.6,11.7,1.1,3272,2302,91.7,0.65,0.36,0.28,0.49,0.71,2.47,14.64,7.02,1.19,27.61,0.16,0.03,12.11,1.21,0,0.09,0.01,0.01,0.03,26.1,68,NA,12.2,1.26,NA,NA,NA,NA
3,2001,Male,12-19,1139,2684,93.2,361,195,15.5,96.2,33.6,37.1,17.8,316,7.4,544,656,215,1142,170,7774,950,1.97,2.63,26.5,2.18,279,194,668,6.68,100.7,58.6,1169,1590,289,19,15.1,1.4,3992,2818,118.2,0.77,0.41,0.31,0.57,0.82,2.93,18.05,8.71,1.57,34.6,0.23,0.04,15.65,1.55,0,0.14,0.02,0.01,0.04,74.3,71.3,4.4,15.790000000000001,1.62,NA,NA,NA,NA
4,2001,Male,20-29,383,2901,103.4,364,184,16.9,100.1,33.7,37.9,19.3,342,7.9,507,646,294,1418,161,9983,1014,2,2.59,29.8,2.39,256,245,680,7.13,119.2,61.4,1088,1659,329,19.3,15,1.7,4144,3077,131.9,0.72,0.38,0.3,0.53,0.82,2.93,18.34,8.71,1.73,35.29,0.25,0.05,16.94,1.73,0,0.16,0.04,0.02,0.07,151.9,44.5,23.3,17.1,1.86,NA,NA,NA,NA
5,2001,Male,30-39,354,2872,108.6,351,172,18.1,107.5,35.4,40.2,21,388,8.5,503,698,449,2000,213,9397,1363,2,2.68,30.1,2.37,253,258,688,7.08,111.7,80.8,1085,1717,339,19.5,15.7,1.7,4449,3277,139.7,0.74,0.38,0.29,0.54,0.88,2.97,19.32,9.24,1.82,37.46,0.25,0.04,18.43,1.89,0,0.18,0.05,0.02,0.09,215,51.1,15.2,18.61,2.05,NA,NA,NA,NA
6,2001,Male,40-49,429,2748,102.5,319,150,19,105.4,33.9,39.1,20.7,360,8.5,425,628,439,2145,126,7433,1489,1.97,2.65,28.2,2.33,222,262,640,6.37,93.9,96.8,983,1633,341,18.1,15.3,1.6,4225,3276,135.5,0.68,0.37,0.3,0.54,0.89,2.83,18.54,8.79,1.74,36.51,0.29,0.07,18.26,1.82,0.01,0.17,0.05,0.02,0.1,240.1,48.6,23.2,18.430000000000003,2,NA,NA,NA,NA
7,2001,Male,50-59,339,2426,89.1,292,146,17.3,93.6,29.6,34,18.9,340,7.6,474,683,459,2198,140,6822,1739,1.71,2.47,24.4,2.08,179,251,555,6.51,100.8,105.1,902,1453,311,16.4,12.9,1.4,3704,3163,112.8,0.61,0.33,0.26,0.48,0.81,2.49,16.17,7.59,1.53,31.65,0.28,0.08,16.6,1.73,0.01,0.16,0.06,0.03,0.12,243,49,15.8,16.76,1.9500000000000002,NA,NA,NA,NA
8,2001,Male,60-69,316,2211,87.8,261,117,17.7,87.2,26.7,31.8,18.5,312,8.3,485,663,350,1863,178,5863,1632,1.72,2.37,24.3,1.99,197,243,579,6.72,96.4,91.7,857,1384,305,17.3,13.2,1.5,3567,3016,119.2,0.5,0.28,0.23,0.41,0.72,2.11,14.65,7.01,1.32,29.71,0.23,0.05,16.29,1.66,0.01,0.14,0.06,0.02,0.11,203.8,40.9,11.3,16.43,1.86,NA,NA,NA,NA
9,2001,Male,70 and over,429,1889,74,233,105,16.7,72.7,23,26,14.9,270,6.8,456,654,312,2131,156,5091,1834,1.58,2.21,21.1,1.95,196,214,547,5.52,91.6,106.7,798,1234,276,15.3,12.3,1.2,3039,2798,101.1,0.49,0.29,0.25,0.42,0.64,1.92,12.48,5.9,1.08,24.32,0.18,0.04,13.16,1.34,0.01,0.12,0.04,0.02,0.06,160.1,31.5,7.9,13.28,1.4700000000000002,NA,NA,NA,NA
10,2001,Male,20 and over,2250,2621,97.7,316,154,17.8,98.1,31.8,36.4,19.5,346,8,473,661,397,1956,160,7872,1458,1.88,2.55,27.2,2.24,223,250,629,6.64,103.7,88.5,982,1565,324,18,14.4,1.6,3997,3151,127.1,0.65,0.35,0.28,0.51,0.82,2.67,17.34,8.23,1.62,33.9,0.26,0.06,17.11,1.74,0.01,0.16,0.05,0.02,0.09,207.7,46.1,17.8,17.27,1.9100000000000001,NA,NA,NA,NA
